Vietnamese,English
trông,look
ghé,visit
rước,pick up;collect
cấp tốc,rapid
tự học,self-study
đàm thoại,conversation
dành cho,to reserve;to be meant for;to be destined for
nhân viên,staff
kèm,included;with
vào,enter (v);at (prep);in (adv)
mời,ask for presence or participation;invite
thưa,dear;thin
chê,fault
hết,to finish;to spend;to be full
ưa chuộng,to be favourite (adj);favorite (n)
tràn ngập,to innundate (v);overwhelm (adj);brim (n)
thị thường,marketplace
dạ,yeah
quầy,counter
trả,to pay;to return;to give back
gói,to pack
vị chi,that comes to...
rẻ,cheap
bớt,to reduce;to diminish;to subside
hàng hóa,commodity
giá chính thức,cost price
giá nhất định,fixed price
thấp,low
lầm,to make a mistake (v);wrong (adj)
hạ,to lower
nếm,to taste
mùi,to smell
hương vị,flavor
hương thơm,aroma
đạt,to reach;to attain
đạt cực khoái,orgasm
tệ,bad
tốt nghiệp,to graduate
giảng dạy,to lecture
trường trung học,high school
thị trấn,town
xa xôi,remote
thăng chức,to promote
bài tập,exercise
cứ,to continue
hoài,constantly
khiến,to cause;to drive;to induce
ngờ,to doubt;to suspect
số phận,destiny;fate
gõ,to knock
ngại,to hesitate
điếm đanh,target
khá,rather;quite
đánh,to hit
cơ hội,opportunity
nổ lực,effort
biểu hiện,to manifest
thất vọng,disappointed
do,due to
tuyển,recruitment
hiệu suất,efficiency
kiếm,to earn
phiền,bother
đùa,joke
đảm nhận,to undertake
liệu,whether
đồng nghiệp,colleague
dị nghị,criticism
ghen tị,jealous
sơ yếu lý lịch,resume
cá nhân,individual;personal
sáng mai,tomorrow morning
giao,to assign;to entrust
điều,fact;point
đề cập,mention
đưa ra,to put out;to produce
biện pháp,measures;steps
tự trọng,self-esteem
vô tình,Anh ta vô tình bước vào đồn cảnh sát. -> He accidentally walked into the police station.
nguyện,wish
cơ quan,agency;institude
đám cưới,wedding
báo cáo,report
tóm tắt,to summarize;to abstract
khát,thirsty
cảm giác ,feeling (n)
hết sức,extremely
hiệu quả,effect;efficiency
cặp,couple;pair
căng,stretch
tròn,round
núm vú,nipple
gọi cảm,sexy;suggestive;appealing
quần lót,underwear
hiềp,oppress
nứng,horny
sự dâm đãng,lewdness
nấc,hiccups
nhanh,fast
đẫm,soaked
rõ ràng,evident;clear
chối,to refuse;to deny
toại nguyện,to satisfy (v);satisfaction (n)
đủ,enough;sufficient
nắm,to hold;to grasp
chức,position;office
tê,numb
con đĩ,plaything;bitch (slang);whore (slang)
sắp,to be on the verge;to be about to happen
cảm nhận,to feel (v)
đỉnh,summit;peak
sâu,deep
năm,to lie down
phê,high;stoned
càng,more and more
cứng,hard
bắn,shoot
ngập,to be submerged
điên,mad;crazy;insane
tinh trùng,sperm
đối xử,to treat or behave
điên cuồng,frantic
hồi,episode;act;event
đánh đổi,exchange;trade;swap
địa vị,position;status
mong,to desire;to wish
xin phép,to ask for permission
cưới,to marry
cẩn thận,to be careful
giám sát,to supervise;to oversee
lát,a moment;a while
bài thi,examination paper
đưa,to give (using hands)
chiều,afternoon;dimensions;directions
trọng điểm,key point;focus
trải nghiệm,to experience
địa phương,local
thức dậy,to wake up
sớm,early;prematurely
dám,dare
rời,to leave
chụp,to take pictures
