Thai,English
เปลี่ยนทรง,change style (like hairstyle)
เชิญ,to invite
แค่ไหน,A question word in Thai to ask for the extent of something uncountable.
บ่า,shoulder
ผมหน้าม้า,hair bangs
แสกหน้า,part of the forehead between the eyes
แสกข้าง,parted
สระผม,hairwash
ประกาศ,to announce
รับสมัครงาน,to accept job applications
สมัครงาน,to apply for a job
ค่าจ้าง,salary
เลว,extremely bad (equivalent to using expletives)
สงสัย,to doubt
ยอม,to accept;to agree
ผลดำเนินงาน,performance
การนำเสนอ,presentation
แผนภาพ,chart
แจก,distribute
ยอดขาย,sales
ประมาณการ,estimate
อย่างมั่นคง,steadily
รณรงค์,to campaign
มีประสิทธิภาพ,effective
หลีกเลี่ยงไม่ได้,unavoidable
การดีดกลับ,rebound
ตวสะกด,ending consonant
โซ่,chain
กลอง,drums
ร่ม,umbrella
กระดุม,button
โคมไฟ,lamp
มะขาม,tamarind
เข็ม,needle
ส้อม,fork
พลอย,gemstone
น้อยหน่า,custard apple
ไฟฉาย,flashlight
อ้อย,sugarcane
เนย,butter
กาว,glue
ว่าว,kite
เหยี่ยว,hawk
เมฆ,cloud
เผือก,taro;albino
ตุ๊กตา,doll
ครกและสาก,mortar and pestle
ยีราฟ,giraffe
กรอบรูป,photo frame
ตับ,liver
ดาบ,sword
หีบ,chest
บอลลูน,balloon
กรรไกร,scissors
แจกัน,vase
ปฏิทิน,calendar
ลิ้น,tongue
ขนุน,jackfruit
อิฐ,brick
เตารีด,iron
ไม้กวาด,broom
คำควบกล้ำ,dipthong
กรอง,braid;to strain;to filter
กระ,freckles
โปรด,favorite
กรอบ,crispy
กราบ,to prostrate oneself
พรวน,neck bell
โปร่ง,sparse
ปรับปรุง,adjust
ครองแครง,small season cake made of flour boiled in coconut milk
เพลิง,fire
กลีบ,petal
โคลน,mud
คลอง,canal
ปลวก,termite
คลื่น,wave
กลิ่น,smell
คลุกคลาน,crawl
เพลิดเพลิน,enjoy
กลบเกลือน,conceal
